"Metric","Standalone","Embedded","Delta_ms","Delta_pct","RawDeltaMs","RawDeltaPct"
"Across-Trial DOWN Event->Dispatch P50","1 ms","1 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Event->Dispatch P95","1.275 ms","1.275 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Dispatch->Callback P50","6.052 ms","5.773 ms","-0.279 ms","-4.61%","-0.279","-4.61"
"Across-Trial DOWN Draw Duration P50","0.014 ms","0.008 ms","-0.006 ms","-42.86%","-0.006","-42.86"
"Across-Trial DOWN Event->DrawStart P50","7.162 ms","6.595 ms","-0.567 ms","-7.92%","-0.567","-7.92"
"Across-Trial DOWN Event->DrawStart P95","11.342 ms","10.715 ms","-0.627 ms","-5.53%","-0.627","-5.53"
"Across-Trial DOWN Event->DrawStart P99","12.396 ms","11.529 ms","-0.867 ms","-6.99%","-0.867","-6.99"
"Across-Trial MOVE Event->DrawStart P50","6.507 ms","6.67 ms","+0.163 ms","+2.5%","0.163","2.5"
"Across-Trial MOVE Event->DrawStart P95","8.898 ms","9.026 ms","+0.128 ms","+1.44%","0.128","1.44"
"Across-Trial MOVE Event->DrawStart P99","11.215 ms","11.828 ms","+0.613 ms","+5.47%","0.613","5.47"
"Pooled DOWN Event->DrawStart P50","7.128 ms","6.648 ms","-0.48 ms","-6.73%","-0.48","-6.73"
"Pooled DOWN Event->DrawStart P95","11.573 ms","10.864 ms","-0.709 ms","-6.13%","-0.709","-6.13"
"Pooled DOWN Event->DrawStart P99","13.937 ms","12.046 ms","-1.891 ms","-13.57%","-1.891","-13.57"
"Pooled MOVE Event->DrawStart P50","6.542 ms","6.733 ms","+0.191 ms","+2.92%","0.191","2.92"
"Pooled MOVE Event->DrawStart P95","9.264 ms","9.698 ms","+0.434 ms","+4.68%","0.434","4.68"
"Pooled MOVE Event->DrawStart P99","12.18 ms","12.894 ms","+0.714 ms","+5.86%","0.714","5.86"
"Total Valid Records (6 Trials)","4634","4587","-47","N/A","0","0"
"Rejected / Invalid Records (6 Trials)","0","0","0","N/A","0","0"
